Ean,Myyntihinta,Kuntoluokitus,Nimi,Alkuperäinen nimi,Vuosi,Ohjaaja,Näyttelijöitä,Formaatti,Levyjä,Julkaisualue,Julkaisu,Tekstitys,Puhuttu kieli,Muuta,Vuokrajulkaisu,Slipcover,Kaksipuolinen levy,Skannattu,Kotelo,Toimitusluokka
5051162330615,3.5,10,Her,,2013,Spike Jonze,Joaquin Phoenix,DVD,1,Pohjoismaat,Sony Pictures,suomi; ruotsi; jne,,,,,,,,A
6416548912110,3.5,8,Hyökkäys erämaassa,Stagecoach,1939,John Ford,John Wayne ,DVD,1,Suomi,Futurefilm,suomi; ruotsi; jne,,,,,,,,A
6416548819914,3,7,Hyytävä syleily,Last Embrace,1979,Jonathan Demme,"Roy Scheider, Janet Margolin",DVD,1,Suomi,Futurefilm,suomi; ruotsi; jne,,,,,,,,A
5050582949209,2.5,10,Itse ilkimys 2,Despicable Me 2,2013,,,Blu-ray,1,Suomi,Universal,suomi; ruotsi; jne,suomi; englanti; ruotsi; jne,,,,,,,A
7319980046315,2,10,Jack Brooks: Monster Slayer,,2007,Jon Knautz,"Trevor Matthews, Robert Englund, Rachel Skarsten",DVD,1,Ruotsi,,suomi; ruotsi; jne,,muoveissa,,,,,,A
7391772398444,2.8,"8,9",James Bond 007 ja kuoleman katse,A View to a Kill,1985,John Glen,"Roger Moore, Tanya Roberts, Grace Jones, Patrick Macnee, Christopher Walken",DVD,2,Pohjoismaat,MGM,suomi; ruotsi; jne, ,"Ultimate Edition, vihkonen mukana",,,,,,A
7391772398352,2.8,,James Bond 007: Kultainen ase,The Man with the Golden Gun,1974,Guy Hamilton,"Roger Moore,  Christopher Lee",DVD,1,,,,,,,,,,,A
5050582763577,,"9, 9, 9",Jurassic Park Trilogy - The Complete Collection,,,,,DVD,3,Pohjoismaat,Universal,suomi; ruotsi; jne,,kannen yläreunassa pieni repeämä (ei puutu palaa),,,,,,A
6416548588537,3,9,Knock Knock,,2015,Eli Roth,"Keanu Reeves, Lorenza Izzo, Ana de Armas.",Blu-ray,1,Suomi,Futurefilm,suomi; ruotsi; jne,,,,,,,,A
5050582140408,4,"9, 8",Kolmannen asteen yhteys,Close Encounters of the Third Kind,1977,Steven Spielberg,"Richard Dreyfuss, Melinda Dillon, Teri Garr, Bob Balaban, Cary Guffey, François Truffaut.",DVD,2,Suomi,Columbia Pictures,suomi; ruotsi; jne,,Special Edition,,,,,,A
7321944651862,3,7,Kotkat kuuntelevat,Where Eagles Dare,1968,Brian G. Hutton,Richard Burton ja Clint Eastwood,DVD,1,Suomi,Warner,suomi; ruotsi; jne,,Clint Eastwood Collection -sarjaa,,,,,,A
3259190263093,3.5,9,Lämäri,Slap Shot,1977,George Roy Hill,Paul Newman,DVD,1,Suomi,Universal,suomi; ruotsi; jne,,,,,,,,A
7321944215163,4,9,Likainen Harry,Dirty Harry,1971,Don Siegel,Clint Eastwood,DVD,1,Suomi,Warner,suomi; ruotsi; jne,,Clint Eastwood Collection -sarjaa,,,,,,A
5014437807137,3,7,Loma Roomassa,Roman Holiday,1953,William Wyler,"Audrey Hepburn, Gregory Peck",DVD,1,Englanti,Paramount,suomi; ruotsi; jne,,,,,,,,A
6416548900414,,,Maissilapset 2,Children of the Corn II: The Final Sacrifice,1992,David Price,,DVD,1,,,,,,,,,,,A
6416335176701,2.5,8,Mulholland Drive,,2001,David Lynch,"Naomi Watts, Laura Harring, Justin Theroux, Ann Miller, Mark Pellegrino, Robert Forster",DVD,1,Suomi,Rakkautta & Anarkiaa,suomi; ruotsi; jne,,,,,,,,A
5706141787170,2.8,9,Only God Forgives,,2013,Nicolas Winding Refn,"Ryan Gosling, Kristin Scott Thomas, Vithaya Pansringarm",DVD,1,Pohjoismaat,,suomi; ruotsi; jne,,,,,,,,A
7321944132330,3,8,Päämies,The Client,1994,Joel Schumacher,"Susan Sarandon, Tommy Lee Jones, Brad Renfro, Mary-Louise Parker, Anthony LaPaglia, Anthony Edwards, Ossie Davis",DVD,1,Suomi,Warner,suomi; ruotsi; jne,,,,,,,,A
6415750024727,1.5,7,Pahat tavat,Dark Habits,1983,Pedro Almodóvar,,DVD,1,Suomi,Sandrew Metronome,suomi; ruotsi; jne,,,,,,,,A
6416548820118,4.5,9,Paniikki piikkipuistossa,The Panic in Needle Park,1971,Jerry Schatzberg,"Al Pacino, Kitty Winn",DVD,1,Suomi,Futurefilm,suomi; ruotsi; jne,,,,,,,,A
